Genotype	Pollination	Season	Period	Repetition	Esp_Total	Esp_Epi_Par_Col	Esp_Par	Esp_Par_Col_End	Area_celulas_1	Area_celulas_2	Area_celulas_3
Santa Cruz	Mechanics	Winter	42	1	6496.0720	109.5726	6277.2273	126.8735	26995.5810	712832.2300	10262.2658
Santa Cruz	Mechanics	Winter	42	2	7308.3470	109.5726	7065.9970	155.7084	40288.1880	521573.6500	4296.7722
Santa Cruz	Mechanics	Winter	42	3	8000.7433	121.1065	7737.3717	92.7966	32169.9680	661388.5900	8216.6979
Santa Cruz	Mechanics	Winter	42	4	7979.6690	87.6468	7753.1060	134.7429	26209.8610	588696.3900	6699.7318
Santa Cruz	Mechanics	Winter	49	2	8001.9223	92.7489	7809.8547	69.2037	32346.5670	534233.1200	6660.8194
Santa Cruz	Mechanics	Winter	49	3	7250.1467	80.7377	7077.3813	92.8427	29016.9040	716378.3600	7288.1981
Santa Cruz	Mechanics	Winter	49	4	7116.9417	121.1065	6863.1057	149.9414	28004.0000	590418.9800	5691.0158
Santa Cruz	Mechanics	Winter	56	2	6314.6733	103.8056	6135.4673	121.5838	29731.0880	584906.9400	6146.8844
Santa Cruz	Mechanics	Winter	56	3	5740.1027	80.7377	5533.3490	121.9937	22267.1880	503353.0300	6798.2086
Santa Cruz	Mechanics	Winter	56	4	2738.4364	137.9479	2682.0014	147.8727	26766.6007	623027.5200	14496.7798
Santa Cruz	Mechanics	Summer	14	1	3530.6590	74.9707	3334.6987	138.7665	19716.0640	319664.2900	3907.3537
Santa Cruz	Mechanics	Summer	14	2	2098.2893	64.7179	1904.2617	110.8803	23304.0400	322037.0000	1363.7126
Santa Cruz	Mechanics	Summer	14	3	2925.4073	78.5355	2729.6230	134.0351	26256.8540	240448.0390	1569.0475
Santa Cruz	Mechanics	Summer	14	4	4025.4127	80.7377	3696.8767	242.4051	25719.8700	424752.1600	4374.5960
Santa Cruz	Mechanics	Summer	21	1	4052.5540	92.2716	3883.1537	74.9707	23827.8540	475049.9700	7771.9640
Santa Cruz	Mechanics	Summer	21	2	2723.4303	73.9324	2576.9683	52.7075	20729.2685	731539.6100	2608.2949
Santa Cruz	Mechanics	Summer	21	4	4337.3803	109.5726	3991.4717	236.6381	30357.2710	419753.7800	7419.6024
Santa Cruz	Mechanics	Summer	28	1	6258.8020	109.5726	6038.6797	132.6405	29893.3230	612120.4600	8366.9568
